Course Number,Course Name,L,T,P,C,Name of the Instructors and Tutors,Capacity,Number of Students,Sections,Lecture,Tutorial,Lab,Link To Course Plan,Preferred Knowledge Equivalent to,Remarks,Minor in,HSS/BS elective
First Year (2026),,,,,,,,,,,,,,,,,
FP 100,Foundation Programme,0,0,0,4,"Achyut Mishra(I),Mahalakshmi Ramamurthy(I),Satyakam Kar(I),Kartik Patel(I),Sandip Lashkare(I),Anagh Bhaumik(I)",,,,,,,,,,,
ES 101 (E),Engineering Graphics,1.5,0,1.5,3,"Hari Sai Ganesh(I+L),Soumajit Dutta(L),Sameer Patel(L),S.R.Gandhi(L),Sai Praneeth(L),K.R. Jayaprakash(L),Uthraa K R(GTF/L),Prince Vats(GTF/L)",,,,"E1
(Jasubhai Auditorium)",,"N1,N2
(Surendra C Sheth Learning Theatre,Jayshree S Sheth Learning Theatre,10/203,10/204,7/208,7/209,Jagdish Patel Learning Theatre,Harsha Patel Learning Theatre,10/104,10/105,11/101,11/102)",https://drive.google.com/file/d/1nQu5kzc24h1AqLb8OSkFrY6xPiWFH-VZ/view?usp=drive_link,,,,
ES 101 (H),Engineering Graphics,1.5,0,1.5,3,Sameer Patel(I),,,,"E1
(11/101)",,,https://drive.google.com/file/d/1nQu5kzc24h1AqLb8OSkFrY6xPiWFH-VZ/view?usp=drive_link,,,,
MA 103 (E),Calculus of Single Variable and Linear Algebra,3,1.5,0,4,"Abhinav Jha(I+T),Sudeshna Roy(I+T)",,,,"G1,G2
(Jasubhai Auditorium)","H1
(7/102,7/104,7/105,7/106,7/107,7/202,7/203,7/204,7/205,7/206,7/207)",,https://drive.google.com/file/d/1d0RhjkTuC7e_2ltABtkgR9GeBQWXK6gt/view?usp=sharing,,,,
MA 103 (H),Calculus of Single Variable and Linear Algebra,3,1.5,0,4,"Abhinav Jha(I+T),Sudeshna Roy(I+T)",,,,"F1,F2
(7/109,7/203)",,,https://drive.google.com/file/d/1d0RhjkTuC7e_2ltABtkgR9GeBQWXK6gt/view?usp=sharing,,,,
ES 112 (E),Computing,3,0,3,4,Shouvick Mondal(I+L),,,,"D1,D2
(Jasubhai Auditorium)",,"J2 (10/103,10/104,10/105)
P1 (10/105,10/204,Jagdish Patel Learning Theatre,Harsha Patel Learning Theatre)",https://docs.google.com/document/d/1dARPkWk7oEEVaBsc9wIZvHxwGhbiouv9HakxrYSI0h4/edit?usp=sharing,,B.Tech. ONLY,,
ES 112 (H),Computing,3,0,3,4,Shouvick Mondal(I+L),,,,"A2,C2
(Harsha Patel Learning Theatre)",,,https://docs.google.com/document/d/1dARPkWk7oEEVaBsc9wIZvHxwGhbiouv9HakxrYSI0h4/edit?usp=sharing,,B.Tech. ONLY,,
ES 115 (E),"Design, Innovation, and Prototyping",1.5,0,3,5,"K Chelvakumar(I+L),Manasi Anand Kanetkar(I+L),Malay Dhamelia(I+L)",,,,"E2
(Jasubhai Auditorium)",,"A1,C1,I1,K1,I2,M1,K2,L2,M2,P2
(Makers' Bhavan, Tinkerers' Lab, etc.)",,,,,
ES 115 (H),"Design, Innovation, and Prototyping",1.5,0,3,5,"K Chelvakumar(I+L),Manasi Anand Kanetkar(I+L),Malay Dhamelia(I+L)",,,,"H2
(7/209)",,,,,,,
